Date,PortfolioValue,AAPL,TSLA,MSTR,GME,AMZN,MSFT,NVDA,META,UNH,V,JPM,IBKR,RBLX,DKNG,CELH,SOFI,HOOD,ABNB,PEP,COST,AMD,GOOG,MRK,CSCO,WMT,BA,C,DIS,CRM,AMGN,LOW,GS,WBA,PYPL,ADBE,NKE,ORCL,TXN,PFE,INTC,BKNG,GE,UPS,T,VRTX,MDT,CVX,ABBV,MCD,BLK,FDX,CAT,ZM,TEAM,DDOG,SHOP,LYFT,UBER,TWLO,DOCU,RIVN,F,GM,XOM,OXY,PSX,APA,WBD,SBUX,BK,MS,ETSY,PANW,ZS,ANET,LULU,DE,SPOT,CHTR,MAR,HON,NOW,ADP,TMO,AVGO,KLAC,MPC,DFS,MTCH,EBAY,ALGN,CRWD,DD,GLW,VRSK,ILMN,REGN,SWKS,FTNT,ROST,BBY,AES,DRI,ULTA,IDXX,APPF,INSM,FND,RUN,BL,FOUR,ESTC,NEOG,RGEN,VRT,MGNI,LMND,WOLF,XLF,XLK,XLY,XLE,XLV,XLI,XLB,XLU,XME,XOP,XRT,SPY,QQQ,IVV,VTI,IWM,DIA
2019-01-02,999228.9831342697,0.00%,3.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.39%,0.00%,1.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.35%,0.00%,0.00%,0.00%,0.00%,9.86%,0.00%,0.00%,0.00%,0.00%,6.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.88%,0.00%,8.98%,0.00%,0.00%,4.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,1.10%,0.00%,0.00%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.02%,0.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.01%,0.52%,0.00%,8.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-03,990898.6558361053,0.00%,3.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.35%,0.00%,1.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.35%,0.00%,0.00%,0.00%,0.00%,9.89%,0.00%,0.00%,0.00%,0.00%,6.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.95%,0.00%,8.81%,0.00%,0.00%,4.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,1.98%,0.00%,0.00%,1.12%,0.00%,0.00%,1.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.18%,0.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.18%,0.51%,0.00%,8.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-04,1010815.6527814865,0.00%,3.71%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.33%,0.00%,1.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.35%,0.00%,0.00%,0.00%,0.00%,9.76%,0.00%,0.00%,0.00%,0.00%,6.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.98%,0.00%,8.90%,0.00%,0.00%,4.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,1.99%,0.00%,0.00%,1.13%,0.00%,0.00%,1.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.85%,0.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.07%,0.53%,0.00%,8.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-07,1013981.5047292709,0.00%,3.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.33%,0.00%,1.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.35%,0.00%,0.00%,0.00%,0.00%,9.84%,0.00%,0.00%,0.00%,0.00%,6.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.09%,0.00%,8.30%,0.00%,0.00%,4.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.01%,0.00%,0.00%,1.18%,0.00%,0.00%,1.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.85%,0.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.88%,0.53%,0.00%,9.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-08,1021446.5649394989,0.00%,3.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.34%,0.00%,1.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.35%,0.00%,0.00%,0.00%,0.00%,9.84%,0.00%,0.00%,0.00%,0.00%,6.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.13%,0.00%,8.30%,0.00%,0.00%,4.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.03%,0.00%,0.00%,1.18%,0.00%,0.00%,1.94%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.68%,0.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.97%,0.53%,0.00%,9.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-09,1021559.155043602,0.00%,3.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.34%,0.00%,1.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.35%,0.00%,0.00%,0.00%,0.00%,9.81%,0.00%,0.00%,0.00%,0.00%,6.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.01%,0.00%,8.43%,0.00%,0.00%,4.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.06%,0.00%,0.00%,1.18%,0.00%,0.00%,1.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.72%,0.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.85%,0.54%,0.00%,9.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-10,1024585.3291711807,0.00%,3.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.35%,0.00%,1.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.36%,0.00%,0.00%,0.00%,0.00%,9.79%,0.00%,0.00%,0.00%,0.00%,6.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.06%,0.00%,8.46%,0.00%,0.00%,4.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.09%,0.00%,0.00%,1.14%,0.00%,0.00%,1.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.56%,0.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.05%,0.54%,0.00%,9.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-11,1026732.5984430313,0.00%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.37%,0.00%,1.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.35%,0.00%,0.00%,0.00%,0.00%,9.75%,0.00%,0.00%,0.00%,0.00%,6.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.15%,0.00%,8.44%,0.00%,0.00%,4.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.08%,0.00%,0.00%,1.15%,0.00%,0.00%,1.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.66%,0.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.94%,0.54%,0.00%,9.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-14,1017903.2267065048,0.00%,3.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.39%,0.00%,1.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.35%,0.00%,0.00%,0.00%,0.00%,9.85%,0.00%,0.00%,0.00%,0.00%,6.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.15%,0.00%,8.50%,0.00%,0.00%,4.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.09%,0.00%,0.00%,1.22%,0.00%,0.00%,1.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.81%,0.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.66%,0.54%,0.00%,9.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-15,1027750.3742961884,0.00%,3.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.46%,0.00%,1.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.35%,0.00%,0.00%,0.00%,0.00%,9.89%,0.00%,0.00%,0.00%,0.00%,6.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.08%,0.00%,8.55%,0.00%,0.00%,4.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.12%,0.00%,0.00%,1.22%,0.00%,0.00%,1.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.66%,0.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.71%,0.52%,0.00%,9.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-16,1029288.4172792435,0.00%,3.97%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.50%,0.00%,1.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.35%,0.00%,0.00%,0.00%,0.00%,9.88%,0.00%,0.00%,0.00%,0.00%,6.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.06%,0.00%,8.63%,0.00%,0.00%,4.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.13%,0.00%,0.00%,1.23%,0.00%,0.00%,1.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.55%,0.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.75%,0.53%,0.00%,9.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-17,1035175.5078763962,0.00%,3.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.47%,0.00%,1.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.35%,0.00%,0.00%,0.00%,0.00%,9.87%,0.00%,0.00%,0.00%,0.00%,6.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.04%,0.00%,8.64%,0.00%,0.00%,4.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.14%,0.00%,0.00%,1.25%,0.00%,0.00%,1.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.52%,0.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.72%,0.54%,0.00%,9.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-18,1035890.1304273605,0.00%,3.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.52%,0.00%,1.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.36%,0.00%,0.00%,0.00%,0.00%,9.96%,0.00%,0.00%,0.00%,0.00%,6.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.11%,0.00%,8.61%,0.00%,0.00%,4.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.14%,0.00%,0.00%,1.31%,0.00%,0.00%,1.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.50%,0.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.73%,0.55%,0.00%,9.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-22,1030458.8275299072,0.00%,3.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.53%,0.00%,1.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.36%,0.00%,0.00%,0.00%,0.00%,9.99%,0.00%,0.00%,0.00%,0.00%,6.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.06%,0.00%,8.62%,0.00%,0.00%,4.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,2.15%,0.00%,0.00%,1.29%,0.00%,0.00%,1.83%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.57%,0.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.87%,0.54%,0.00%,9.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-23,1035139.5922117233,0.00%,3.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.53%,0.00%,1.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.35%,0.00%,0.00%,0.00%,0.00%,10.07%,0.00%,0.00%,0.00%,0.00%,6.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.10%,0.00%,8.60%,0.00%,0.00%,4.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,2.17%,0.00%,0.00%,1.29%,0.00%,0.00%,1.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.58%,0.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.98%,0.54%,0.00%,9.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-24,1036472.2285327911,0.00%,3.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.52%,0.00%,1.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.35%,0.00%,0.00%,0.00%,0.00%,10.02%,0.00%,0.00%,0.00%,0.00%,6.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.02%,0.00%,8.59%,0.00%,0.00%,4.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.21%,0.00%,0.00%,1.27%,0.00%,0.00%,1.83%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.53%,0.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.06%,0.53%,0.00%,9.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-25,1033711.0913152695,0.00%,3.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.55%,0.00%,1.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.35%,0.00%,0.00%,0.00%,0.00%,9.90%,0.00%,0.00%,0.00%,0.00%,6.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.05%,0.00%,8.60%,0.00%,0.00%,4.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.21%,0.00%,0.00%,1.31%,0.00%,0.00%,1.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.57%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.83%,0.55%,0.00%,9.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-28,1029244.5218629837,0.00%,3.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.55%,0.00%,1.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.35%,0.00%,0.00%,0.00%,0.00%,9.96%,0.00%,0.00%,0.00%,0.00%,6.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.09%,0.00%,8.57%,0.00%,0.00%,4.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.20%,0.00%,0.00%,1.29%,0.00%,0.00%,1.87%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.67%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.83%,0.55%,0.00%,9.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2019-01-29,1027636.3677129745,0.00%,3.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.56%,0.00%,1.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.35%,0.00%,0.00%,0.00%,0.00%,9.94%,0.00%,0.00%,0.00%,0.00%,6.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.11%,0.00%,8.59%,0.00%,0.00%,4.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,2.19%,0.00%,0.00%,1.29%,0.00%,0.00%,1.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.68%,0.59%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.91%,0.56%,0.00%,9.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
